number,name,sector
146,Daisy-R Staffing Solutions (Pty) Ltd t/a Insureit,Agencies
147,Delta Insurance Agency (Pty) Ltd,Agencies
148,Deontic Holdings (Pty) Ltd t/a Deontic Insurance Group,Agencies
149,Dzivakwi Investments (Pty) Ltd t/a Chama Insurance Agency,Agencies
150,Esmoga Investments (Pty) Ltd,Agencies
151,Express Credit (Pty) Ltd,Agencies
152,Family First Insurance (Pty) Ltd,Agencies
153,Fincity Investments (Pty) Ltd t/a Futureguard Insurance Agency,Agencies
154,Fine Brass Investments (Pty) Ltd,Agencies
155,Firstcred Limited,Agencies
156,Fortunesgate (Pty) Ltd,Agencies
157,FSG Assurance (Pty) Ltd,Agencies
158,Furniture Mart (Pty) Ltd,Agencies
159,G.I.B Sales &amp; Distribution (Pty) Ltd,Agencies
160,Gama Insurance (Pty) Ltd,Agencies
161,Genius Famalies (Pty) Ltd,Agencies
162,Geranium Insurance Agency (Pty) Ltd,Agencies
163,Getsure Legal (Pty) Ltd,Agencies
164,GWTK Holdings,Agencies
165,Hindsight (Pty) Ltd t/a F&amp; I,Agencies
166,Homepark (Pty) Ltd T/A Mmadale Insurance Agency,Agencies
167,Inerca Holdings (Pty) Ltd ,Agencies
168,Infinity Edge (Pty) Ltd,Agencies
169,Innovative Ideas (Pty) Ltd T/A Innovative Insurance Agency,Agencies
170,Innovex Consultants (Pty) Ltd T/A Innovex Insurance Agency,Agencies
171,Insurance Connect (Pty) Ltd,Agencies
172,Insurance Magnets (Pty) Ltd,Agencies
173,Intimo Creations (Pty) Ltd t/a Royal Advisory Services,Agencies
174,Jaole Investments (Pty) Ltd,Agencies
175,Jetwig Enterprises (Pty) Ltd t/a Capital Bank Insurance Agency,Agencies
176,Joint Perfections ,Agencies
177,Joshua Doore Russells Botswana (Pty) Ltd,Agencies
178,Kafar Life And Risk Managers (Pty) Ltd,Agencies
179,Kaleu (Pty) Ltd t/a Banc ABC,Agencies
180,Kamoso Wealth Agency (Pty) Ltd ,Agencies
181,Kehumile Insurance Agency (Pty) Ltd,Agencies
182,Kenmal Holdings (Pty) Ltd t/a Malsure  Insurance,Agencies
183,Kgagaripa Investments (Pty) Ltd,Agencies
184,Kganya Botswana,Agencies
185,Kingstons Group (Pty) Ltd t/a King Sure Insurance Agency,Agencies
186,Koko Enterprises (Pty) Ltd t/a Smart Cover Insurance Agency  ,Agencies
187,Legend Insurance Agent (Pty) Ltd,Agencies
188,Legora Insurance (Pty) Ltd,Agencies
189,Lele High Tech Enterprises (Pty) Ltd t/a Pearl Insurance,Agencies
190,Lelentle Insurance Agency,Agencies
191,Lemon Insurance Agency (Pty) Ltd,Agencies
192,Lere Mckay Holdings (Pty) Ltd t/a Royalgram,Agencies
193,Letlotlo Insurance (Pty) Ltd,Agencies
194,Letshego Financial Services (Pty) Ltd,Agencies
195,"Lewis Stores (Botswana) (Pty) Ltd t/a Lewis, Best Home &amp; Electric and Beares",Agencies
196,Libra Insurance Agency (Pty) Ltd,Agencies
197,LifeDale Insurance Agency (Pty) Ltd,Agencies
198,Linclu Investments (Pty) Ltd,Agencies
199,Losika Funeral Services (Pty) Ltd,Agencies
200,Marketouch Insurance Services (Pty) Ltd,Agencies
201,Maron Dawson (Pty) Ltd,Agencies
202,Marshall Grove Holdings (Pty) Ltd,Agencies
203,Medvest Life Agency (Pty) Ltd,Agencies
204,Medvest Short-Term (Pty) Ltd,Agencies
205,Mega Avenues (Pty) Ltd,Agencies
206,Metbai Holdings (Pty) Ltd,Agencies
207,Mikram Investments (Pty) Ltd t/a Mikram Insurance Agency,Agencies
208,Millennium Insurance Agency,Agencies
209,Mmarona Insurance Agency (Pty) Ltd,Agencies
210,Mokaulengwe Benefit Scheme (Pty) Ltd,Agencies
211,Money Quest Investments (Pty) Ltd T/A Bayport Financial Services,Agencies
212,Monlife (Pty) Ltd ,Agencies
213,Montsamaisa Legal Insurance (Pty) Ltd,Agencies
214,Mosfara Holdings (Pty) Ltd,Agencies
215,Mosireletsi Legal Services (Pty) Ltd,Agencies
216,Motor Centre (Botswana) (Pty) Limited,Agencies
217,Motshelo Mobile (Pty) Ltd,Agencies
218,Mphemphe (Pty) Ltd,Agencies
219,Naalano (Pty) Ltd,Agencies
220,Naledi Motors (Pty) Ltd,Agencies
221,National Development Insurance Agency (Pty) Ltd,Agencies
222,Nchecheni (Pty) Ltd t/a BDF Welfare Fund Insurance Agency,Agencies
223,Neitaw (Pty) Ltd,Agencies
224,Nguvu Investments (Pty) Ltd t/a Sakari,Agencies
225,NMI Durban South Motors Botswana (Pty) Ltd t/a Barloworld Motor Botswana,Agencies
226,Normlife (Pty) Ltd,Agencies
227,Odinfin Botswana (Pty) Ltd,Agencies
228,Pasmac (Pty) Ltd,Agencies
229,Pendisa Insurance Agency,Agencies
230,Plenz Sure (Pty) Ltd,Agencies
231,Polelo (Pty) Ltd,Agencies
232,Premier Life Marketing (Pty) Ltd ,Agencies
233,Pri-Edd Investment (Pty) Ltd,Agencies
234,Proctor Insurance Services (Pty) Ltd,Agencies
235,Propel Optimum (Pty) Ltd,Agencies
236,Providence Legal Insurance (Pty) Ltd,Agencies
237,Pule Insurance (Pty) Ltd,Agencies
238,Qubeka Investments (Pty) Ltd,Agencies
239,Rabboni Insurance Agency (Pty) Ltd,Agencies
240,Radical Change Agency (Pty) Ltd,Agencies
